Country,ISO Code,Region,Position 2022,Position 2021,Global Score,Politic Score,Economic Score,Legislative Score,Social Score,Security Score,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation,Change in position,GNI per capita,% of children out of school,Life Expectancy at Birth
Denmark,DNK,Europe,2,4,90.27,94.34,83.67,89.18,91.17,92.97,0,0,0,0,Good,2,62260.0,,81.5512195121951
Djibouti,DJI,Arab States,164,176,35.75,32.73,16.12,37.72,37.6,54.56,0,0,0,0,Very Serious,12,5360.0,33.0039710998535,67.49
Dominican Republic,DOM,South America,30,50,76.9,71.52,62.24,85.96,92.0,72.79,0,0,0,0,Satisfactory,20,17060.0,4.10987997055054,74.257
Ecuador,ECU,South America,68,96,64.61,60.1,55.44,67.98,69.5,70.03,0,0,0,0,Problematic,28,10580.0,1.3798600435257,77.216
Egypt,EGY,Middle  East,168,166,30.23,30.91,23.47,34.87,44.25,17.64,0,0,0,0,Very Serious,-2,,,
El Salvador,SLV,South America,112,82,54.09,42.94,39.07,63.22,62.86,62.37,0,0,0,0,Difficult,-30,7970.0,,73.533
Equatorial Guinea,GNQ,Africa,141,164,43.96,42.73,24.49,44.3,44.25,64.04,0,0,0,0,Difficult,23,13400.0,,59.057
Eritrea,ERI,Africa,179,180,19.62,22.22,19.73,25.15,19.67,11.36,0,0,0,0,Very Serious,1,,,66.679
Estonia,EST,Europe,4,15,88.83,91.11,81.97,87.87,90.0,93.2,0,0,0,0,Good,11,37300.0,,78.3463414634146
Eswatini,SWZ,Africa,131,141,46.42,41.31,35.03,43.86,50.5,61.4,0,0,0,0,Difficult,10,7950.0,,60.721
Ethiopia,ETH,Africa,114,101,50.53,50.65,45.77,63.66,57.29,35.29,0,0,16,0,Difficult,-13,2410.0,12.7920303344727,66.953
Fiji,FJI,Asia Pacific,102,55,56.91,44.85,39.8,58.33,64.0,77.55,0,0,0,0,Problematic,-47,11420.0,1.17825996875763,67.561
Finland,FIN,Europe,5,2,88.42,90.4,82.03,86.64,90.77,92.26,0,0,0,0,Good,-3,51800.0,,82.1317073170732
France,FRA,Europe,26,34,78.53,79.85,67.86,86.51,89.38,69.05,0,0,0,0,Satisfactory,8,47730.0,,82.1756097560976
Gabon,GAB,Africa,105,117,56.0,48.38,39.46,56.14,65.5,70.52,0,0,0,0,Problematic,12,14300.0,,66.69
Gambia,GMB,Africa,50,85,69.25,71.11,51.36,67.69,81.33,74.74,0,0,0,0,Problematic,35,,,
Georgia,GEO,Europe,89,60,59.3,52.42,46.43,80.79,75.5,41.34,0,0,1,0,Problematic,-29,14040.0,0.623090028762817,73.919
Germany,DEU,Europe,16,13,82.04,87.03,80.07,87.08,89.47,66.58,0,0,0,0,Satisfactory,-3,56370.0,,80.9414634146342
Ghana,GHA,Africa,60,30,67.43,66.61,47.22,81.42,79.64,62.25,0,0,2,0,Problematic,-30,5810.0,5.98369979858398,64.347
Greece,GRC,Europe,108,70,55.52,60.5,38.13,69.54,65.36,44.1,0,0,0,0,Problematic,-38,27830.0,,81.0878048780488
Guatemala,GTM,South America,124,116,47.94,46.06,33.67,68.86,59.0,32.12,0,0,0,0,Difficult,-8,8690.0,10.554539680481,74.529
Guinea,GIN,Africa,84,109,59.82,59.26,47.05,71.15,70.67,50.96,0,0,0,0,Problematic,25,2500.0,14.4640197753906,61.962
Guinea Bissau,GNB,Africa,92,95,58.79,51.15,50.82,68.42,62.4,61.18,0,0,0,0,Problematic,3,,,
Guyana,GUY,South America,34,51,76.41,70.06,67.76,75.61,81.4,87.21,0,0,0,0,Satisfactory,17,19140.0,,70.023
Haiti,HTI,South America,70,87,64.55,59.6,50.34,72.22,80.67,59.91,2,0,0,0,Problematic,17,3100.0,,64.315
Honduras,HND,South America,165,151,34.61,33.33,31.63,36.84,31.0,40.22,0,0,0,0,Very Serious,-14,5040.0,,75.448
Hong Kong,HKG,Asia Pacific,148,80,41.64,40.5,35.9,42.58,57.45,31.78,0,0,0,1,Difficult,-68,,,
Hungary,HUN,Europe,85,92,59.8,47.07,32.31,67.25,67.33,85.03,0,0,0,0,Problematic,7,32390.0,,75.6170731707317
Iceland,ISL,Europe,15,16,82.69,86.21,65.56,82.68,87.5,91.5,0,0,0,0,Satisfactory,1,52030.0,,83.0658536585366
India,IND,Asia Pacific,150,142,41.0,40.76,30.36,57.02,56.25,20.61,1,0,11,0,Difficult,-8,6440.0,5.37329006195068,69.887
Indonesia,IDN,Asia Pacific,117,113,49.27,45.91,41.33,55.7,66.0,37.42,0,0,0,0,Difficult,-4,11750.0,,71.908
Iran,IRN,Middle  East,178,174,23.22,30.71,21.32,26.71,23.78,13.61,1,0,3,0,Very Serious,-4,,,
Iraq,IRQ,Middle  East,172,163,28.59,34.14,20.07,29.82,40.67,18.27,0,0,2,0,Very Serious,-9,9840.0,,70.748
Ireland,IRL,Europe,6,12,88.3,89.24,79.08,85.09,92.5,95.58,0,0,0,0,Good,6,71040.0,,82.2048780487805
Israel,ISR,Middle  East,86,86,59.62,65.15,55.1,53.51,77.75,46.61,0,0,2,0,Problematic,0,39090.0,,82.7
Italy,ITA,Europe,58,41,68.16,65.89,47.52,73.93,80.0,73.48,0,0,0,0,Problematic,-17,42510.0,,82.3439024390244
